Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Chocofetti (6th Anniversary Stout),Lion Bridge Brewing Company,Stout - Imperial / Double Milk,4,4.23,08/11/22,08/11/22
The Details,Marto Brewing Company,Sour - Fruited,3.75,3.93,08/11/22,08/11/22
Within Us,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.25,08/10/22,08/10/22
Noema - Blend No. 3,New Image Brewing,Stout - Imperial / Double,4.25,4.21,08/10/22,08/10/22
Long Haired Freaky People,Drekker Brewing Company,IPA - Imperial / Double New England / Hazy,3.5,3.97,08/10/22,08/10/22
Cryopreservation (2022),Bottle Logic Brewing,Stout - Imperial / Double Milk,5,4.26,08/08/22,08/08/22
Furthermore,Anchorage Brewing Company,Stout - Imperial / Double,4.5,4.58,08/06/22,08/06/22
Berry Patch Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,3.5,4.25,08/06/22,08/06/22
Big Wave,Kona Brewing Company,Golden Ale,3.5,3.52,08/06/22,08/06/22
Pure Bliss,Barn Town Brewing,Stout - Imperial / Double,4,4.34,08/04/22,08/04/22
The Mother of the Ruler of the World,Drekker Brewing Company,Stout - Imperial / Double Pastry,4.5,4.27,08/04/22,08/04/22
Alchemy of Elements (2022),Bottle Logic Brewing,Stout - Imperial / Double,4.25,4.27,08/03/22,08/03/22
Candied Pecan (2022),Parish Brewing Co.,Stout - Imperial / Double Pastry,4,4.32,08/03/22,08/03/22
Steep Drop!,Boulevard Brewing Co.,Stout - Coffee,1.5,3.42,07/26/22,07/26/22
Continuous Ignition (2022),Bottle Logic Brewing,Stout - Imperial / Double Coffee,4.25,4.28,07/26/22,07/26/22
Nothing And Everything,Anchorage Brewing Company,IPA - New England / Hazy,4.25,4.07,07/25/22,07/25/22
There's An APPricot For That,7 Hills Brewing,Sour - Fruited,0.5,3.91,07/18/22,07/18/22
Pink Guava Massacre,Barn Town Brewing,Sour - Fruited Berliner Weisse,3.75,3.89,07/14/22,07/14/22
Pickle Tickle,Barn Town Brewing,Golden Ale,3.25,3.43,07/14/22,07/14/22
Nothing Is As It May Seem,Barn Town Brewing,IPA - New England / Hazy,4,3.96,07/14/22,07/14/22
Crushable Summer,Barn Town Brewing,Pale Ale - Other,3.5,3.57,07/14/22,07/14/22
"Extinction Event - Vic Secret, Sabro, & NZ Blend",Confluence Brewing Company,IPA - New England / Hazy,3.75,4.02,07/09/22,07/09/22
Batch 1613 Hazy Double IPA,Confluence Brewing Company,IPA - Imperial / Double New England / Hazy,4,4.15,07/09/22,07/09/22
Scars Are Beautiful,Kinship Brewing Co.,IPA - American,3.75,3.74,07/09/22,07/09/22
Chilly Billy,Kinship Brewing Co.,IPA - Session,3.5,3.62,07/09/22,07/09/22
Sheriff Dobeck,Kinship Brewing Co.,Stout - Imperial / Double,3.5,3.75,07/09/22,07/09/22
"Oh, Billy.",Kinship Brewing Co.,Pale Ale - American,3.75,3.71,07/09/22,07/09/22
E18 Light American Lager,E18 Brewing Co.,Lager - American Light,3.75,3.38,07/02/22,07/02/22
Cherry Bomb Blonde,Front Street Brewery (IA),Fruit Beer,3.75,3.6,07/01/22,07/01/22
Dem Beetuz Boiz (2022),Imprint Beer Co.,Stout - Imperial / Double Pastry,4.25,4.32,06/30/22,06/30/22
Barrel-Aged Hazelnut Imperial Stout with Cocoa Nibs (2021),Cycle Brewing Company,Stout - Imperial / Double Pastry,4.25,4.26,06/29/22,06/29/22
Spiked Smoothie Blueberry Lemonade,Connecticut Valley Brewing Company,Fruit Beer,4.25,3.64,06/26/22,06/26/22
Weekend,Prairie Artisan Ales,Stout - Imperial / Double Pastry,4.5,4.36,06/25/22,06/25/22
Talisman,Lua Brewing,Stout - Imperial / Double Pastry,4.5,4.44,06/18/22,06/18/22
Pushpop: Safari Flaps,Lua Brewing,Sour - Fruited,4.75,4.51,06/18/22,06/18/22
Wake the F Up Iowa Toffee,Backpocket Brewing,Stout - Russian Imperial,4,4.1,06/15/22,06/15/22
The Moon's Daughter,Anchorage Brewing Company,IPA - Imperial / Double New England / Hazy,4.25,4.15,06/15/22,06/15/22
Mosaic Extra Extra Juicy Bits,WeldWerks Brewing Co.,IPA - Imperial / Double New England / Hazy,4.5,4.29,05/19/22,05/19/22
Id No. 14,COOP Ale Works,Sour - Fruited,2.75,3.78,05/19/22,05/19/22
Vanilla Bean Ares,River Styx Brewing,Stout - Imperial / Double,3.75,4.07,05/19/22,05/19/22
Contrary Honey Wheat,Contrary Brewing Company,Wheat Beer - Other,2.75,3.8,05/16/22,05/16/22
Proper Pour,Boulevard Brewing Co.,Stout - Imperial / Double,3.5,4.18,05/11/22,05/11/22
Incognito Mode,Anchorage Brewing Company,IPA - Imperial / Double New England / Hazy,4,4.07,05/11/22,05/11/22
Peanut Butter Cup S'mores Absence of Light,4 Hands Brewing Company,Stout - Milk / Sweet,3.5,4.01,05/07/22,05/07/22
Coconut Medianoche (2022),WeldWerks Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.49,04/21/22,04/21/22
MegaMint,Heathen Brewing,Stout - Imperial / Double Milk,3.9,,04/21/22,04/21/22
Some Grace,Lua Brewing,Sour - Fruited,4,4.1,04/14/22,04/14/22
Bourbon Barrel Aged Dark Star: Coffee Edition (2019),Fremont Brewing,Stout - Imperial / Double Oatmeal,3.75,4.35,04/13/22,04/13/22
Des Moines Breakfast Stout,Flix Brewhouse - Des Moines,Stout - Coffee,4,4.04,04/12/22,04/12/22
Damn Fine! Coffee IPA,Flix Brewhouse - Des Moines,IPA - American,3.75,3.75,04/12/22,04/12/22
Coffee Bear,Hop Butcher For The World,Stout - Imperial / Double Coffee,3.75,4.17,03/22/22,03/22/22
Incarnation IPA,4 Hands Brewing Company,IPA - American,3.5,3.81,03/20/22,03/20/22
Bath Bomb: Mango Coconut Marshmallow,Fifth Frame Brewing Co.,Sour - Fruited,4,4.26,03/20/22,03/20/22
Pale Ale,Schlafly - The Saint Louis Brewery,Pale Ale - English,3.25,3.42,03/18/22,03/18/22
"You're My Boy, Blue!",Brew Bus Brewing,Fruit Beer,3.75,3.66,03/15/22,03/15/22
Jai Low,Cigar City Brewing,IPA - Session,2.75,3.54,03/15/22,03/15/22
Margarita Gose,Cigar City Brewing,Sour - Fruited Gose,3.75,3.55,03/15/22,03/15/22
Florida Man,Cigar City Brewing,IPA - Imperial / Double,4.25,3.82,03/15/22,03/15/22
Hard Mountain Dew Original,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.34,03/06/22,03/06/22
Hard Mountain Dew Black Cherry,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.43,03/06/22,03/06/22
11th Anniversary Chocolate & Caramel Stout,Westbrook Brewing Co.,Stout - Imperial / Double Pastry,3.75,3.95,03/06/22,03/06/22
Sin Highway,New Anthem Beer Project,Stout - Imperial / Double,3.75,4.16,03/06/22,03/06/22
Big Bad Baptist Black Forest Cake,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,3.75,3.99,03/06/22,03/06/22
Barrel Aged Oco Noco,Lion Bridge Brewing Company,Stout - Imperial / Double Milk,4.75,4.51,03/06/22,03/06/22
Chocolate Mint Stout Aged In Kentucky Bourbon Barrels,Guinness Open Gate Brewery ,Stout - Imperial / Double Pastry,2.75,3.8,02/19/22,02/19/22
Strawberry Drive-In,Barn Town Brewing,IPA - Milkshake,3.75,4.15,02/19/22,02/19/22
Infinite Wishes (Bourbon Barrel Aged),Smog City Brewing Co.,Stout - Imperial / Double,3.75,4.12,02/19/22,02/19/22
Dark Cabaret (2021),Breakside Brewery,Stout - Imperial / Double,3.5,4.25,02/19/22,02/19/22
Cowboy Siesta,Fair-Weather Friend,Stout - Imperial / Double,4.25,4.25,02/19/22,02/19/22
Guayabera,Cigar City Brewing,Pale Ale - American,3.75,3.72,02/19/22,02/19/22
Lit - Watermelon,Barn Town Brewing,Sour - Other,4,4.04,02/19/22,02/19/22
Culinary Fuel,Barn Town Brewing,Sour - Fruited,4,3.87,02/19/22,02/19/22
Neon Beer Hug,Goose Island Beer Co.,IPA - American,3.75,3.66,02/07/22,02/07/22
Bourbon County Brand Cherry Wood Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4,4.28,02/04/22,02/04/22
Remembered Time,Lion Bridge Brewing Company,Strong Ale - Other,4,4.22,02/02/22,02/02/22
St. Nick’s Christkindlbier,Confluence Brewing Company,Spiced / Herbed Beer,3.5,3.88,02/02/22,02/02/22
Campfire Compadre,NoCoast Beer Co,IPA - Session,3.75,3.6,02/01/22,02/01/22
Barrel Aged The Visitor Imperial Stout (Pure Liquid Cacao & Hazelnut) -- Batch I (12/1/2021),Alluvial Brewing Company,Stout - Imperial / Double,4,4.08,01/29/22,01/29/22
The Oracle,Anchorage Brewing Company,Sour - Fruited,3.25,4.06,01/27/22,01/27/22
Sugarwood Baklava,Boulevard Brewing Co.,Brown Ale - Imperial / Double,3.75,4.04,01/27/22,01/27/22
La Roja Variant Series Boysenberry And Guava,Jolly Pumpkin Artisan Ales,Sour - Flanders Red Ale,3.5,3.91,01/27/22,01/27/22
Ancient Magick (2021),Old Irving Brewing Co.,Stout - Imperial / Double,4.25,4.19,01/27/22,01/27/22
Royal Eddy,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4,4.13,01/22/22,01/22/22
Stickee Monkee (2016),Firestone Walker Brewing Company,Strong Ale - American,3.75,4.4,01/22/22,01/22/22
Big Bad Baptist Reserve (Release #6) ,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4.25,4.26,01/22/22,01/22/22
Chocolate Milk Stout With Coconut,Barn Town Brewing,Stout - Milk / Sweet,4.25,4.05,01/14/22,01/14/22
Coffee Shop Vibes (2020),Shared,Stout - Russian Imperial,3.25,4.35,01/14/22,01/14/22
"Fruitcake Cookie Stout, Bourbon Barrel Aged Oatmeal Stout W/ Dried Fruit & Candied Pecans",Confluence Brewing Company,Stout - Imperial / Double,3.25,3.81,01/14/22,01/14/22
Oatbreaker,Flix Brewhouse - Des Moines,Stout - Oatmeal,3,3.9,01/14/22,01/14/22
Richard the Whale: Well Baked Richard,Big Grove Brewery,Stout - Russian Imperial,4.75,4.37,01/10/22,01/10/22
Adult Nap Time - Pecan,Millstream Brewing,Porter - Other,4,3.92,01/08/22,01/08/22
Green Leewood,Kinship Brewing Co.,Porter - American,3.25,3.72,01/08/22,01/08/22
Bourbon Barrel Aged Dark Star (2020),Fremont Brewing,Stout - Imperial / Double Oatmeal,4,4.39,01/08/22,01/08/22
Big Frooty Black Forest Cake,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.17,01/08/22,01/08/22
Brian's Great Grape,Barn Town Brewing,Sour - Fruited,4.25,4.21,01/03/22,01/03/22
No Takezees Backzees,Barn Town Brewing,IPA - Imperial / Double,3.75,3.82,01/03/22,01/03/22
Barleywine (2021),Barn Town Brewing,Barleywine - English,3,3.72,01/03/22,01/03/22
Barleywine - Vanilla Cinnamon (2021),Barn Town Brewing,Barleywine - English,3.25,3.82,01/03/22,01/03/22
BA Cicada Killer - Maple Cinnamon Marshmallow (2021),Barn Town Brewing,Stout - Imperial / Double,4.25,4.2,01/03/22,01/03/22
Here,Lua Brewing,Stout - Other,4.75,4.41,12/31/21,12/31/21
Cranberry Gose,Third Space Brewing,Sour - Fruited Gose,3.25,3.59,12/25/21,12/25/21
Mocha Berry Bock (Thumbprint),New Glarus Brewing Company,Bock - Doppelbock,4,3.95,12/24/21,12/24/21
Medelyan Russian Imperial Stout,Great Dane Pub & Brewing Company,Stout - Russian Imperial,4,3.96,12/24/21,12/24/21
Blackout Brunch,Turning Point Beer,Stout - Imperial / Double Pastry,4.25,4.37,12/19/21,12/19/21
Vice Mixed Berries,Wild Barrel Brewing,Sour - Fruited Berliner Weisse,4.5,4.06,12/18/21,12/18/21
Island Life,Pulpit Rock Brewing Company,Sour - Other,4.5,4.33,12/17/21,09/17/22
Comfy Pants,Lion Bridge Brewing Company,Winter Warmer,3.75,3.79,12/15/21,12/15/21
Lemon Lime Sparkle,Thew Brewing Company ,Hard Seltzer,2.25,2.86,12/15/21,12/15/21
Swingin Sticks With Angry Chair,Humble Forager Brewery,Stout - Imperial / Double,3.75,3.95,12/12/21,12/12/21
Cordially Yours,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.15,12/10/21,12/10/21
"Braaaaaaaains - Blueberry, Black Currant, & Plum Double Fruit Smoothie Sour",Drekker Brewing Company,Sour - Smoothie / Pastry,4.25,4.29,12/09/21,12/09/21
Doomed,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.5,4.4,12/09/21,12/09/21
Coffee Vanilla Dire Wolf,Wolf's Ridge Brewing,Stout - Russian Imperial,3.75,4.18,12/08/21,12/08/21
Wake the Others,Anchorage Brewing Company,IPA - Triple New England / Hazy,4.75,4.27,12/08/21,12/08/21
Kentucky Brunch Brand Stout (2021),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.83,12/07/21,12/07/21
Mornin' Delight (2021),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.59,12/07/21,12/07/21
Mr Hoppy Pants,Pulpit Rock Brewing Company,IPA - Imperial / Double,4,4.23,12/04/21,12/04/21
Church Salad,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4,4.18,12/04/21,12/04/21
Term Oil Mostra 7th Anniversary,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,5,4.44,12/04/21,12/04/21
Term Oil Breakfast Royale,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.75,4.45,12/04/21,12/04/21
2021 Dark Charge Mole,Braxton Brewing Company,Stout - Imperial / Double,4,4.03,12/02/21,12/02/21
9th Anniversary Stout,Backpocket Brewing,Stout - Russian Imperial,4.25,4.19,12/02/21,12/02/21
Big Bad Baptist Chocolate Raspberry (Release #2),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,4.16,12/02/21,12/02/21
Forced Flair,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.12,12/02/21,12/02/21
Windy Wheat,Kinship Brewing Co.,Wheat Beer - American Pale Wheat,3.25,3.65,12/02/21,12/02/21
Foundation Series #1: Pinkies Out 2021,Court Avenue Brewing Company,Brown Ale - English,3.75,4.03,12/01/21,12/01/21
Bourbon County Brand Fourteen Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.44,11/27/21,11/27/21
Bourbon County Brand Classic Cola Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.1,11/27/21,11/27/21
Barrel-Aged Monogrammatic,Revision Brewing Company,Stout - Imperial / Double,3.75,4.32,11/26/21,11/26/21
El Jefe (2018),Madhouse Brewing Company,Stout - Imperial / Double,4.5,4.39,11/26/21,11/26/21
"Barrel Aged Cicada Killer - Cinnamon, Coconut, Caramel, & Chocolate - 2021",Barn Town Brewing,Stout - Imperial / Double Pastry,4.25,4.33,11/24/21,11/24/21
Velvet Merkin (2016),Firestone Walker Brewing Company,Stout - Imperial / Double Oatmeal,3.75,4.22,11/22/21,11/22/21
Montana Original Lager,Bayern Brewing,Lager - Pale,3,3.55,11/22/21,11/22/21
Bud Light Strawberry Lemonade,Anheuser-Busch,Lager - American Light,2.75,3.17,11/21/21,11/21/21
Samuel Adams Old Fezziwig,Samuel Adams,Old Ale,1.25,3.39,11/20/21,11/20/21
Barrel Aged Aurox Imperial Stout (Maple Syrup) -- Batch I (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.26,11/15/21,11/15/21
Arctic Breakfast,Fox Brewing Company,Brown Ale - American,2.75,3.8,11/09/21,11/09/21
Iowa City Wave Mango Smoothie Selzer,Backpocket Brewing,Hard Seltzer,3.25,3.49,11/09/21,11/09/21
Jalapeño Pepper Ale,Bent River Brewing Company,Chilli / Chile Beer,3,3.29,11/06/21,11/06/21
Ghost Face Killah,Twisted Pine Brewing Company,Chilli / Chile Beer,2,2.85,11/06/21,11/06/21
Stuff of Legend,Boulevard Brewing Co.,Stout - Imperial / Double Pastry,4.25,4,11/06/21,11/06/21
Black Butte XXIV,Deschutes Brewery,Porter - Imperial / Double,4,4.25,11/05/21,11/05/21
Florida Stout (Coconut & Vanilla) [Batch 3],Voodoo Brewing Co.,Stout - Imperial / Double Pastry,4.5,4.2,11/04/21,11/04/21
Peanut Butter Volcano,Ferndale Project,Stout - Imperial / Double,4,4.1,11/04/21,11/04/21
Morning Light,Lua Brewing,Kellerbier / Zwickelbier,3.75,4.01,10/30/21,10/30/21
Wicked Joe,Lucky Bucket Brewing Company,Stout - Imperial / Double Oatmeal,4,4.11,10/29/21,10/29/21
Colossus,Lua Brewing,IPA - Triple,4,4.37,10/28/21,10/28/21
Sip N Slide Splashtastic Sour!,ReUnion Brewery,Sour - Fruited Berliner Weisse,4,3.64,10/26/21,10/26/21
Witches Brew,Vala's Pumpkin Patch,Cider - Herbed / Spiced / Hopped,3.75,3.81,10/26/21,10/26/21
Nebraska Classic Cider,Vala's Pumpkin Patch,Cider - Sweet,3.5,3.58,10/26/21,10/26/21
Nothing Ventured,Lua Brewing,Sour - Fruited,4.75,4.42,10/25/21,10/25/21
Nothing Gained,Lua Brewing,Sour - Fruited,4.5,4.36,10/24/21,10/24/21
"Bourbon Barrel Ferryman's, Bourbon Barrel Aged Russian Imperial Stout",Confluence Brewing Company,Stout - Russian Imperial,4.25,4.12,10/23/21,10/23/21
Black Betty Imperial Stout,Nebraska Brewing Company,Stout - Russian Imperial,3.75,4.06,10/22/21,10/22/21
Get Chocolate Wasted,Gezellig Brewing Company,Stout - Imperial / Double Milk,3.5,4.19,10/22/21,10/22/21
Beggars’ Night Imperial Stout (2021),Barn Town Brewing,Stout - Imperial / Double,2.75,3.33,10/21/21,10/21/21
Witch's Broom,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.01,10/21/21,10/21/21
Space Camper Cosmic IPA,Boulevard Brewing Co.,IPA - American,4,3.73,10/21/21,10/21/21
Frayja,Anchorage Brewing Company,Porter - Imperial / Double Baltic,4.5,4.34,10/19/21,10/19/21
Infinite Wishes Coconut & Vanilla (2021),Smog City Brewing Co.,Stout - Imperial / Double,4.25,4.31,10/10/21,10/10/21
Big Luau,515 Brewing Company,IPA - Imperial / Double Milkshake,3.75,4.06,10/08/21,10/08/21
"Frubulous - Raspberry, Orange, Lime & Sherbert",Deciduous Brewing Company,Sour - Fruited,4.25,4.27,10/07/21,10/07/21
Lick the Spoon,White Elm Brewing Company,Stout - Imperial / Double Milk,4,4.17,10/07/21,10/07/21
Greenbelt IPA,515 Brewing Company,IPA - American,4,3.87,10/06/21,10/06/21
Flying Seahorses,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.18,10/04/21,10/04/21
Everybody Love Everybody,Drekker Brewing Company,Sour - Smoothie / Pastry,3.25,4.17,10/03/21,10/03/21
Kindness,Anchorage Brewing Company,IPA - Session,4.75,3.94,10/03/21,10/03/21
Chocolate Chip Flapjack Special,WeldWerks Brewing Co.,Stout - Imperial / Double Milk,4.25,4.19,10/02/21,10/02/21
Dire Wolf Yub Nub,Wolf's Ridge Brewing,Stout - Russian Imperial,4,4.16,09/30/21,09/30/21
Lilith's Brethren,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.15,09/30/21,09/30/21
Coven (Ghost 1049),Adroit Theory,Stout - Russian Imperial,4,3.97,09/30/21,09/30/21
H.A.Z.Y. IPA,SweetWater Brewing Company,IPA - New England / Hazy,3.75,3.74,09/26/21,09/26/21
Fresh Batch Series: S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double Pastry,4.25,4.15,09/24/21,09/24/21
Ol’ Griz Barleywine (Barrel Aged) 2020,Boone Valley Brewing Company,Barleywine - American,2.25,4.08,09/23/21,09/23/21
The Abyss (2010),Deschutes Brewery,Stout - Imperial / Double,2.5,4.41,09/23/21,09/23/21
"Barrel Aged Cicada Killer – Coffee, Macadamia Nut, & Chocolate",Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.41,09/23/21,09/23/21
Oktoberfest,Barn Town Brewing,Märzen,3.5,3.63,09/23/21,09/23/21
Bluffing Isn't Weisse,Bad Beat Brewing,Wheat Beer - Hefeweizen,3.5,3.64,09/18/21,09/18/21
LightSky Citrus Wheat,Blue Moon Brewing Company,Wheat Beer - Other,3.5,3.29,09/17/21,09/17/21
Modelo Especial,Grupo Modelo,Lager - Mexican,3.5,3.11,09/17/21,09/24/21
Death By Flapjacks,Oskar Blues Brewery,Porter - English,3.5,3.84,09/15/21,09/15/21
Vanilla Pumpkin Beer,O'Fallon Brewery,Pumpkin / Yam Beer,3,3.71,09/15/21,09/15/21
Foster's Lager,Carlton & United Breweries,Lager - Pale,2.5,2.78,09/14/21,09/14/21
Marzen,ReUnion Brewery,Märzen,2.75,3.67,09/13/21,09/13/21
Pineapple Haze,Jefferson County Ciderworks,Cider - Traditional / Apfelwein,3.5,4.06,09/13/21,09/13/21
Tropical Pineapple,Jefferson County Ciderworks,Cider - Other Fruit,3.5,3.71,09/13/21,09/13/21
Double Blackberry Sour,Big Grove Brewery,Sour - Fruited,4,3.91,09/09/21,09/09/21
Mai Tai,903 Brewers,Sour - Fruited Berliner Weisse,4.5,4.18,09/07/21,09/07/21
"Jammy Pants (Raspberry, Cherry and Lime)",Great Notion Brewing,Sour - Fruited,4,4.13,09/07/21,09/07/21
Traeblod,Mikkeller Brewing San Diego,Stout - Imperial / Double,4.25,4.09,09/07/21,09/07/21
Clonefest,Backpocket Brewing,Festbier,3.75,3.68,09/07/21,09/07/21
Bakery: Boysenberry Pie (2021),The Bruery,Stout - Imperial / Double Pastry,4,3.94,09/07/21,09/07/21
Pseudo Seltzer - Pineapple,Toppling Goliath Brewing Co.,Hard Seltzer,2.75,3.69,09/07/21,09/07/21
Pseudo Seltzer - Strawberry,Toppling Goliath Brewing Co.,Hard Seltzer,3.25,3.62,09/07/21,09/07/21
Star Gazing with 8th State,Humble Forager Brewery,Stout - Imperial / Double Pastry,4.5,4.2,09/07/21,09/07/21
13,Surly Brewing Company,Stout - Imperial / Double Milk,4.5,4.3,09/03/21,09/03/21
Into Nothingness,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.31,08/31/21,08/31/21
Tired But Wired,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.75,4.44,08/31/21,08/31/21
Ordiata,Double Shift Brewing Company,Stout - Milk / Sweet,3.5,3.77,08/31/21,08/31/21
King of Everything,Tripping Animals Brewing Co.,IPA - Triple New England / Hazy,4.25,4.17,08/31/21,08/31/21
Beer Geek S’mores Shake,Mikkeller Brewing San Diego,Stout - Imperial / Double Pastry,3.5,3.68,08/31/21,08/31/21
Pseudo Seltzer - Watermelon ,Toppling Goliath Brewing Co.,Hard Seltzer,3.75,3.66,08/31/21,08/31/21
Pseudo Seltzer - Mango,Toppling Goliath Brewing Co.,Hard Seltzer,3.75,3.68,08/31/21,08/31/21
